idMarca,Marca,Abrev,MarcaURL,idDataStorage,OrdenM
301,SADIPAL,SADIPAL   ,"",,0
302,SCP,SCP       ,"",,0
303,SAPOLIO,SAPOLIO   ,"",,0
304,SHALAKU,SHALAKU   ,"",,0
305,SHARK,SHARK     ,"",,0
306,SHINY,SHINY     ,"",,0
307,SHURTAPE,SHTPE     ,"",,0
308,SILKO,SILKO     ,"",,0
309,SIMPLE,SIMPLE    ,"",,0
310,SIRIO,SIRIO     ,"",,0
311,SONY,SONY      ,"",,0
312,NIKEL,NIKEL     ,"",,0
313,SPECIAL,SPECIAL   ,"",,0
314,STABILO,STABILO   ,"",,0
315,STAEDTLER,STAEDTLER ,"",,0
316,STANDFORD,STANDFORD ,"",,0
317,STANGER,STANGER   ,"",,0
318,SURCO,SURCO     ,"",,0
319,SWITCH,SWITCH    ,"",,0
320,TATTOS,TATTOS    ,"",,0
321,TAURO,TAURO     ,"",,0
322,TECHY,TECHY     ,"",,0
323,TECKNO,TECKNO    ,"",,0
324,TEKNO,TEKNO     ,"",,0
325,TIGRE,TIGRE     ,"",,0
326,TIZIANO,TIZIANO   ,"",,0
327,TOMY,TOMY      ,"",,0
328,TOLOUSE,TOLOUSE   ,"",,0
329,TOYOBA,TOYOBA    ,"",,0
330,TRICON,TRICON    ,"",,0
331,UHU,UHU       ,"",,0
332,UNIVERSAL,UNIVERSAL ,"",,0
333,UNO,UNO       ,"",,0
334,VICTORIA,VICTORIA  ,"",,0
335,VIKINGO,VIKINGO   ,"",,0
336,VINIBALL,VINIBALL  ,"",,0
337,VINIFAN,VINIFAN   ,"",,0
338,VINILUZITO,VINIZTO   ,"",,0
339,WARRIOR,WARRIOR   ,"",,0
340,WENDA,WENDA     ,"",,0
341,WINGO,WINGO     ,"",,0
342,XEROX,XEROX     ,"",,0
343,YAMOHA,YAMOHA    ,"",,0
344,MARATON,MARATON   ,"",,0
345,IMPREZA PIAGGIO Y GALLO,GALLO     ,"",,0
346,PS,PS        ,"",,0
348,MAPED,MAPED     ,"",,0
349,CO & CO,CO & CO   ,"",,0
350,RAY PERU,RAY PERU  ,"",,0
351,NAVARRETE,NAVARRETE ,"",,0
353,IMPREZA,IMPREZA   ,"",,0
354,LIBRA,LIBRA     ,"",,0
355,OVE,OVE       ,"",,0
356,FIXO,FIXO      ,"",,0
357,KOOPE,KOOPE     ,"",,0
358,JIC CHEN,JIC CHEN  ,"",,0
359,IMPORTADO,IMPORTADO ,"",,0
360,DATA OFFICE,DT OFFICE ,"",,0
361,S/M,S/M       ,"",,0
362,ARDI KIT,ARD KID   ,"",,0
363,PANAMERICANA,PANAM.    ,"",,0
364,NACIONAL,NACIONAL  ,"",,0
365,HUASCARAN,HUASCARAN ,"",,0
366,DRAGON,DRAGON    ,"",,0
367,CHIBOLITO,CHIBOLITO ,"",,0
368,NUTESA,NUTESA    ,"",,0
369,LOGMAN,LOGMAN    ,"",,0
370,NEKUDA,NEKUDA    ,"",,0
371,CHINO,CHINO     ,"",,0
372,MEMORY,MEMORY    ,"",,0
373,LAMINEX,LAMINEX   ,"",,0
374,VALORO,VALORO    ,"",,0
375,G,G         ,"",,0
376,LIMA,LIMA      ,"",,0
377,PELIMAGIC,PELIMAGIC ,"",,0
378,ROTRING,ROTRING   ,"",,0
379,NATARAJ,NATARAJ   ,"",,0
380,PERUFAN,PERUFAN   ,"",,0
381,KIKO-LANCER,KIKO-LNC  ,"",,0
382,INOXCROM,INOXCR    ,"",,0
383,UNIBALL,UNIBALL   ,"",,0
384,PAX,PAX       ,"",,0
385,VIKINGON,VIKINGON  ,"",,0
386,PUBLI,PUBLI     ,"",,0
387,CORRIENTE,CORRIENTE ,"",,0
388,CELEBRATE,CLBRATE   ,"",,0
389,DIVO,DIVO      ,"",,0
390,ISA,ISA       ,"",,0
391,FX4000,FX4000    ,"",,0
392,PEACH,PEACH     ,"",,0
393,AREQUIPA,AREQUIPA  ,"",,0
394,NMUNDO,NMUNDO    ,"",,0
395,LIZ,LIZ       ,"",,0
396,MAULE,MAULE     ,"",,0
397,USA,USA       ,"",,0
398,GRAPHIS,GRAPHIS   ,"",,0
399,SUZANO,SUZANO    ,"",,0
400,COLOR-PLUS,COLOR-PLUS,"",,0
401,VIVALDI,VIVALDI   ,"",,0
402,FAVINI,FAVINI    ,"",,0
403,KOELER,KOELER    ,"",,0
404,CINTELA,CINTELA   ,"",,0
405,ASATEX,ASATEX    ,"",,0
406,ASASOX,ASASOX    ,"",,0
407,K-SET,K-SET     ,"",,0
408,KP,KP        ,"",,0
409,MEMORIS,MEMORIS   ,"",,0
410,COVI AQP,covi      ,"",,0
411,KW-TRIO,KW-TRIO   ,"",,0
412,GUAN DONG,GUAN DONG ,"",,0
413,HP,HP        ,"",,0
414,PHILIPS,PHILIPS   ,"",,0
415,COMPUCLEANER,COMPCLEAN ,"",,0
416,PREMIO,PREMIO    ,"",,0
417,BTC,BTC       ,"",,0
418,GENIUS,GENIUS    ,"",,0
419,UCHIDA,UCHIDA    ,"",,0
420,KORES,KORES     ,"",,0
421,EPSON-LRG,EPS-LRG   ,"",,0
422,APOLO,APOLO     ,"",,0
423,MYLANO,MYLANO    ,"",,0
425,LUCHOS,LUCHOS    ,"",,0
426,ONE BOOK,ONE BOOK  ,"",,0
427,GRAFRESA,GRAFRESA  ,"",,0
428,ENRI,ENRI      ,"",,0
430,OLFA,OLFA      ,"",,0
431,TUN HING,TUN HING  ,"",,0
432,HOODA,HOODA     ,"",,0
433,GURA,GURA      ,"",,0
434,TIANDA,TIANDA    ,"",,0
435,CELLO,CELLO     ,"",,0
436,VERQUI,VERQUI    ,"",,0
437,WEX,WEX       ,"",,0
438,DAXIYA,DAXIYA    ,"",,0
439,E. KRAUSE,E. KRAUSE ,"",,0
440,DFH,DFH       ,"",,0
441,PIZZINI,PIZZINI   ,"",,0
442,KM,KM        ,"",,0
443,HOPE,HOPE      ,"",,0
444,DRAWING,DRAWING   ,"",,0
445,GRAFI PAPEL,GRAFI PAPE,"",,0
446,HOHNER,HOHNER    ,"",,0
447,PERCY,PERCY     ,"",,0
448,S&M,S&M       ,"",,0
449,NOVUS,NOVUS     ,"",,0
450,SKREBA,SKREBA    ,"",,0
451,QJ,QJ        ,"",,0
452,GLOVE,GLOVE     ,"",,0
453,KRAUSE,KRAUSE    ,"",,0
454,FIESTA,FIESTA    ,"",,0
455,PROTEX,PROTEX    ,"",,0
456,ED. DIDACTICA,ED.DID    ,"",,0
457,E.PAPER,E.P       ,"",,0
458,EKOL,EKOL      ,"",,0
459,ARCO IRIS,ARCO IRIS ,"",,0
460,CRANE,CRANE     ,"",,0
461,EASYRITE,EASYRITE  ,"",,0
462,MONAMI,MONAMI    ,"",,0
463,SERGI,SERGI     ,"",,0
464,KOH-I-NOOR,K-I-N     ,"",,0
465,PAIDOS,PAIDOS    ,"",,0
466,EDUVI,EDUVI     ,"",,0
467,PER,PER       ,"",,0
468,QENTAS,QENTAS    ,"",,0
469,GRAFIRESA,GRAFIRESA ,"",,0
470,JR,JR        ,"",,0
471,GLASS,GLASS     ,"",,0
472,FOSKA,FOSKA     ,"",,0
473,DITO,DITO      ,"",,0
474,INTIFAN,INTIFAN   ,"",,0
475,LYRA,LYRA      ,"",,0
476,CRETA,CRETA     ,"",,0
477,CREAT WALL,CREAT WALL,"",,0
478,LONG MARCH,LONG MARC ,"",,0
479,MARIES,MARIES    ,"",,0
480,SCOTCH BRITE,SCOTCH BR ,"",,0
481,DURAFAX,DURAFAX   ,"",,0
482,NASHUA,NASHUA    ,"",,0
483,PAGODA,PAGODA    ,"",,0
484,ENERGIE,ENER      ,"",,0
485,REPORT,REPORT    ,"",,0
486,INJET LASER,INJ LAC   ,"",,0
487,CHAMEX,CHAMEX    ,"",,0
488,VOTOCOPI,VOTOCOPI  ,"",,0
489,INKJET,INKJET    ,"",,0
490,PARIS,PARIS     ,"",,0
491,CLING WRAP,CLING WRAP,"",,0
492,ASTRO BRIGT,ASTRO BRIG,"",,0
493,GLAMMA,GLAMMA    ,"",,0
494,GLAMMA SCHOLE,GLAM SCH  ,"",,0
495,CBIT,CBIT      ,"",,0
496,PROPAL,PROPAL    ,"",,0
497,MACARI,MACARI    ,"",,0
498,NORPAL,NORPAL    ,"",,0
499,A-1,A-1       ,http://lasoluciond.com/img/marcas/a-1.jpg,,0
500,DAVID,DAVID     ,"",,0
501,DASA,DASA      ,"",,0
502,VENCEDOR,VENCEDOR  ,"",,0
503,JyF,JyF       ,"",,0
504,RAY-O-VAG,RAY-O-VAG ,"",,0
505,PANASONIC,PANASONIC ,"",,0
506,TOULOUSE,TOULOUSE  ,"",,0
507,CORONA,COR       ,"",,0
508,ART BRUSH,ART BRUSH ,"",,0
509,APU,APU       ,"",,0
510,ABRO,ABRO      ,"",,0
511,ISOCOLA,ISOCOLA   ,"",,0
512,PREMIER,PREMIER   ,"",,0
513,JIC,JIC       ,"",,0
514,MYLIN,MYLIN     ,"",,0
515,COMBOSET,COMBOSET  ,"",,0
516,MUNDO PLAST,MUND PLAST,"",,0
517,HOOPE,HOOPE     ,"",,0
518,DHF,DHF       ,"",,0
519,TEMPLATE,TEMPLATE  ,"",,0
520,STANDARG,STANDARG  ,"",,0
521,EBERHARD FABER,EBER FABER,"",,0
522,CROMO PAX,CROMO PAX ,"",,0
523,MAXIFLO,MAXIFLO   ,"",,0
524,UNI,UNI       ,"",,0
525,KIKO,KIKO      ,"",,0
526,LUXOR,LUXOR     ,"",,0
527,LUCKYS,LUCKYS    ,"",,0
528,SCHENEIDER,SCHNEIDER ,"",,0
529,OMYA COLOR,OMYA COLOR,"",,0
530,BEROL,BEROL     ,"",,0
531,ISOFIT,ISOFIT    ,"",,0
532,INFO NOTES,INFO NOTES,"",,0
533,STICK,STICK     ,"",,0
534,HOPAX,HOPAX     ,"",,0
535,KZT,KZT       ,"",,0
536,D'ANGER,D'ANGER   ,"",,0
537,RADIO SHACK,RAD SHACK ,"",,0
538,EDDING,EDDING    ,"",,0
539,NT,NT        ,"",,0
540,MUNDIAL,MUNDIAL   ,"",,0
541,FUJI,FUJI      ,"",,0
542,TRODAT,TRODAT    ,"",,0
543,PRINTY,PRINTY    ,"",,0
544,GRAFOPLAS,GRAFOPLAS ,"",,0
545,HLNGP,HLNGP     ,"",,0
546,HOLIDAY,HOLIDAY   ,"",,0
547,TERCOMI,TERCOMI   ,"",,0
548,OPALINA,OPALINA   ,"",,0
549,KUM,KUM       ,"",,0
550,M&R,M&R       ,"",,0
551,CARL,CARL      ,"",,0
552,SWATI,SWATI     ,"",,0
553,LION,LION      ,"",,0
554,BEE,BEE       ,"",,0
555,JQ,JQ        ,"",,0
556,ASPAUSA,ASPAUSA   ,"",,0
557,RHETZ,RHETZ     ,"",,0
558,FEROZE,FEROZE    ,"",,0
559,STANLESS,STANLESS  ,"",,0
560,EDUCADOR,EDUCADOR  ,"",,0
561,SUPERIOR,SUPERIOR  ,"",,0
562,ROBERT COLOR,ROB COLOR ,"",,0
563,LIGHT,LIGHT     ,"",,0
564,MAL MAL MAL CANNON,MAL MAL MA,"",,0
565,LABELLON,LABELLON  ,"",,0
566,FOLEX,FOLEX     ,"",,0
567,KRONALINE,KRONALINE ,"",,0
568,YIDU,YIDU      ,"",,0
569,VINIFORRO,VINIFORRO ,"",,0
570,SNOWMAN,SNOWMAN   ,"",,0
571,DYMO,DYMO      ,"",,0
572,TENSA,TENSA     ,"",,0
573,PRINKO,PRINKO    ,"",,0
574,OLSEN,OLSEN     ,"",,0
575,PROCOLOR,PROCOLOR  ,"",,0
576,COLOR JET,COLOR JET ,"",,0
577,INKTEC,INKTEC    ,"",,0
578,CANON,CANON     ,"",,0
579,LEXMARK,LEXMARK   ,"",,0
580,MITA,MITA      ,"",,0
581,SAMSUNG,SAMSUNG   ,"",,0
582,KYOCERA,KYOCERA   ,"",,0
583,DELUXE,DLXE      ,"",,0
584,BARBIE,BARBIE    ,"",,0
585,YUAN CHANG,YUAN CHANG,"",,0
586,ARTILUGIA,ARTILUGIA ,"",,0
587,ARQUERITO,ARQUERITO ,"",,0
588,UK OFFICE,UK OFFICE ,"",,0
589,TAPE DISPENSER,T. DISPENS,"",,0
590,FLOR,FLOR      ,"",,0
591,IBIS,IBIS      ,"",,0
592,YURAC,YURAC     ,"",,0
593,SUNNY DAYS,sunny     ,"",,0
594,LANTIAN SERIVES,LAN SERIV ,"",,0
595,SMARTER,SMARTER   ,"",,0
596,EVAFLEX,EVAFLEX   ,"",,0
597,CESIECO,CESIECO   ,"",,0
598,DIGITAL MAGNUM,DIG. MAGNU,"",,0
599,RUBBER BANDS,RUBBER    ,"",,0
600,METAL FILE,METAL FILE,"",,0
601,ETERNA,ETERNA    ,"",,0
602,GEORGE,GEORGE    ,"",,0
603,FESTIVAL,FESTIVAL  ,"",,0
604,G.R,G.R       ,"",,0
605,OFFICE,OFFICE    ,"",,0
606,LIDER,LIDER     ,"",,0
607,V.R,V.R       ,"",,0
608,CURCEL,CURCEL    ,"",,0
609,KNIFE,KNIFE     ,"",,0
610,LEON,LEON      ,"",,0
611,SHUTER,SHUTER    ,"",,0
612,HORSE,HORSE     ,"",,0
613,HERO,HERO      ,"",,0
614,CARBOTYPE,CARBOTYPE ,"",,0
615,BETSCARBON,BETSCARBON,"",,0
616,SILCO,SILCO     ,"",,0
617,TECNOCREP,TECNOCREP ,"",,0
618,PEBEO,.PEBEO    ,"",,0
619,JHONATAN,JHONATAN  ,"",,0
620,CAMBRIDGE,CAMBRIDGE ,"",,0
621,ORIENTAL,ORIENTAL  ,"",,0
623,NOVOS,NOVOS     ,"",,0
625,STAPLES WEISHU,S. WEISHU ,"",,0
626,KENKO,KENKO     ,"",,0
627,KADIO,KADIO     ,"",,0
628,EWTT,EWTT      ,"",,0
629,LGM,LGM       ,"",,0
630,UTILITY,UTILITY   ,"",,0
631,LANTU,LANTU     ,"",,0
632,BPI,BPI       ,"",,0
633,MAGNIFIER,MAGNIFIER ,"",,0
634,DIDACTICA,DIDACTICA ,"",,0
635,JEAN BOOK,JEAN BOOK ,"",,0
636,KELLIFAN,KELLIFAN  ,"",,0
637,R.P,R.P       ,"",,0
638,PACIFIC,PACIFIC   ,"",,0
639,FANCY NOTES,FANCY NOTE,"",,0
640,WEISHU,WEISHU    ,"",,0
641,YICHI,YICHI     ,"",,0
642,DIAMOND,DIAMOND   ,"",,0
643,KINGSTON,KINGSTON  ,"",,0
644,PROARTE,PROARTE   ,"",,0
645,THUMB,THUMB     ,"",,0
647,RG,RG        ,"",,0
648,HOLDER,ho.       ,"",,0
649,C. HUANG,chuang    ,"",,0
650,GRAINS,GRAI      ,"",,0
651,SANFORD,sanf.     ,"",,0
652,MEDBOOK,medb.     ,"",,0
653,RUMOLD,RUMOLD    ,"",,0
654,KELLYFAN,KELL      ,"",,0
655,ONE MILLON,ONE M     ,"",,0
656,NORUEGO,noruego   ,"",,0
657,SCHMIDT,schm      ,"",,0
658,HUHUA,HUH       ,"",,0
659,GREAT WALL,GRE       ,"",,0
660,MAL MAL MAL MAL CITIZEN,MAL MAL MA,"",,0
661,SANCHANG,sanchang  ,"",,0
662,PUSH PINS,push      ,"",,0
663,YON FENG,yon       ,"",,0
664,AZTECA,AZT       ,"",,0
665,COPIMAX,COPIMAX   ,"",,0
666,DGHL,DGHL      ,"",,0
667,INCOLMA,incol     ,"",,0
668,EOLER,eoler     ,"",,0
669,TESA,tesa      ,"",,0
670,STAPLER,stapl     ,"",,0
671,MULTI HOLDER,MULTI HOL ,"",,0
672,ST@Y MEDIA,STAY      ,"",,0
673,MEMOREX,MEMOREX   ,"",,0
675,CURSOR,CURSOR    ,"",,0
676,BEYFA,BEY       ,"",,0
677,GRUMAS,GRUMAS    ,"",,0
678,LIVOR,LIVOR     ,"",,0
679,SOENNECKEN,SOENN     ,"",,0
680,ROSEG,ROSEG     ,"",,0
681,PIAGGIO,PIAGGIO   ,"",,0
682,CIBER 21,CIBER     ,"",,0
683,HEROS,HEROS     ,"",,0
684,CYGNUS,cygn      ,"",,0
685,SKS,sks       ,"",,0
686,PRINT-RITE,print     ,"",,0
687,ABC,ABC       ,"",,0
688,EDIBASA,EDIBASA   ,"",,0
689,OCEANO,OCEANO    ,"",,0
690,PROFLEX,PROFLEX   ,"",,0
691,JUSTAFLEX,JUSTAFLEX ,"",,0
692,FLEXOKEN,FLEXOKEN  ,"",,0
693,MEMO TIP,MEMO TIP  ,"",,0
694,REXEL,rexel     ,"",,0
695,DOUBLESIX,doublesix ,"",,0
696,NUS GRAF,NUS GRAF  ,"",,0
697,REY STAR,REY STAR  ,"",,0
698,KL&N,KL&N      ,"",,0
699,SHANDE,SHANDE    ,"",,0
700,YES,YES       ,"",,0
701,TACKLON,tacklon   ,"",,0
703,ARTIST,ARTIST    ,"",,0
704,GLUGUS,glugus    ,"",,0
705,GAMA,gama      ,"",,0
706,HASHTANG,HASHTANG    ,"",,0
707,NOTE FIX,note fix  ,"",,0
708,SIPA,SIPA      ,"",,0
709,EISEN ,EISEN     ,"",,0
710,CROZY,CROZY     ,"",,0
712,EINS,EINS      ,"",,0
713,AUTOMATIK,AUTOMATIK ,"",,0
714,SEPAPEL,sepapel   ,"",,0
715,XING LI,xing      ,"",,0
716,COPY TINTA,copy      ,"",,0
717,JOVI,JOVI      ,"",,0
718,YAHEL,yahel     ,"",,0
719,COLORLINE,COLORLINE ,"",,0
721,PENTA,penta     ,"",,0
722,ANDES,ANDES     ,"",,0
723,COLORFUL,colorful  ,"",,0
725,YI WU SHI,yi wu shi ,"",,0
726,SOLDIMIX,soldimix  ,"",,0
727,TRIZ,triz      ,"",,0
728,COX,cox       ,"",,0
729,PAPIROS,papi      ,"",,0
730,KW,kw        ,"",,0
731,ARTIFIC,ARTIFIC   ,"",,0
732,MONGOL,mongol    ,"",,0
733,EDUCATIVA,EDUCAT    ,"",,0
734,LIQUID PAPER,liquid    ,"",,0
735,RE-INKING,re-ink    ,"",,0
736,DINAMO,dinamo    ,"",,0
737,NEW YC,new yc    ,"",,0
738,CELINA,celina    ,"",,0
739,HANS,HANS      ,"",,0
740,EVEREADY,eveready  ,"",,0
741,RIBBON,RIBBON    ,"",,0
742,DATACUN,DATACUN   ,"",,0
743,SUNLIT,SUNLIT    ,"",,0
744,SANYUAN,sanyuan   ,"",,0
745,KATUN,KATUN     ,"",,0
746,RABIT PRINCE,rabit     ,"",,0
747,KP-ALP-CL,kp-alp-CL ,"",,0
748,REY,rey       ,"",,0
749,MAPPSA,MAPPSA    ,"",,0
750,PAPER ONE,paper one ,"",,0
751,BIONIC,bionic    ,"",,0
752,HOPE / KM,HOPE / KM ,"",,0
753,COPYRITE,COPYRITE  ,"",,0
754,RGM,RGM       ,"",,0
755,NEKO,NEKO      ,"",,0
756,LOGITECH,LOGITECH  ,"",,0
757,GLADE,glade     ,"",,0
758,IRIS COLORS,IRIS COLOR,"",,0
759,MARK BOOK,MARBOOK   ,"",,0
760,PAPERLINE,paperline ,"",,0
761,EUROCOPY,EUROCOPY  ,"",,0
762,UYULSTOOLS,UYULSTOOLS,"",,0
763,ADHERCOL,adhercol  ,"",,0
764,SANDISK,sdk       ,"",,0
765,KLIPX,klipx     ,"",,0
766,FORZA,forza     ,"",,0
767,PRONOTI,pronoti   ,"",,0
768,BINDERMAX,BDMAX     ,"",,0
769,CLORINDA,CLORI     ,"",,0
770,ROMUS,          ,"",,0
771,GLOBAL,GLOBAL    ,"",,0
772,RAPESCO,RAP       ,"",,0
773,ASSIST,          ,"",,0
774,SIN MARCA,sm        ,"",,0
775,SM,sm        ,"",,0
776,ROTAFAX,rtf       ,"",,0
777,BAYGON,          ,"",,0
778,NAVIGATOR,NAVIGATOR ,"",,0
779,CABANA,CAB       ,"",,0
780,POP SET,POP SET   ,"",,0
781,ARON,ARON      ,"",,0
783,GENTE ,GEN       ,"",,0
784,RAFAEL,RAF       ,"",,0
785,MILANO,MIL       ,"",,0
786,ESTRELLA,ESTRE     ,"",,0
788,SENATOR,SENATOR   ,"",,0
789,CYBERTEL,CYBERTEL  ,"",,0
790,PRINT RITE,          ,"",,0
792,CARBON  FILM,CBF       ,"",,0
793,STAMPER,STA       ,"",,0
794,REAL,REAL      ,"",,0
795,RHEIN,RHEIN     ,"",,0
796,DANJEL,DAN       ,"",,0
797,BESKO,BESKO     ,"",,0
798,SUNGLITZ,SUNGLITZ  ,"",,0
799,INVERDIRO,INV       ,"",,0
800,KRISTAL,KRISTAL   ,"",,0
801,TOSHIBA,TOSHIBA   ,"",,0
803,MARCEL,MARCEL    ,"",,0
805,SIGNO,SIGNO     ,"",,0
806,BUSINESS,BUSINESS  ,"",,0
808,K M,K         ,"",,0
809,MONTREAL,MONTREAL  ,"",,0
810,SABONIS,SABONIS   ,"",,0
811,ARISTON,ARISTON   ,"",,0
812,SCHOELLER,sch       ,"",,0
813,ALPIER,API       ,"",,0
814,RHEINK,RK        ,"",,0
815,ARGOS,ARG       ,"",,0
816,VINI BALL,V.BALL    ,"",,0
817,EDVAL,ED        ,"",,0
818,HOT COLOR,H C       ,"",,0
819,TILIBRA,TL        ,"",,0
820,URMAN,UR        ,"",,0
822,PAPER CLIPS,P C       ,"",,0
823,CROSS,CROSS     ,"",,0
824,CV,CV        ,"",,0
825,SINGER,SIN       ,"",,0
826,BALANCE,BAL       ,"",,0
827,CELMA,CEL       ,"",,0
828,SCALERULER,S R       ,"",,0
829,KWOKS,KWO       ,"",,0
831,CENTURY,CENT      ,"",,0
834,ONLINE,ONLI      ,"",,0
835,GALAXY,GALAX     ,"",,0
836,CRECE JUGANDO,CRECE J.  ,"",,0
837,CLOVER,CLOVER    ,"",,0
839,SOLU,SOLU      ,"",,0
840,PEGOL,PEGOL     ,"",,0
841,TRAXX,TRAXX     ,"",,0
